,breed,id,breed_name
3616,n02112137,n02112137_9280.jpg,chow
13633,n02106166,n02106166_340.jpg,Border_collie
12365,n02099601,n02099601_3004.jpg,golden_retriever
19039,n02101006,n02101006_3379.jpg,Gordon_setter
13584,n02090622,n02090622_7961.jpg,borzoi
12454,n02099601,n02099601_8181.jpg,golden_retriever
3676,n02112137,n02112137_5601.jpg,chow
6227,n02115913,n02115913_4320.jpg,dhole
3642,n02112137,n02112137_5548.jpg,chow
9262,n02108000,n02108000_3296.jpg,EntleBucher
14218,n02093991,n02093991_3807.jpg,Irish_terrier
4531,n02089078,n02089078_4544.jpg,black
2225,n02100236,n02100236_396.jpg,German_short
16805,n02088094,n02088094_3613.jpg,Afghan_hound
11468,n02105056,n02105056_6790.jpg,groenendael
8683,n02097658,n02097658_11235.jpg,silky_terrier
16348,n02097298,n02097298_344.jpg,Scotch_terrier
7805,n02098286,n02098286_2413.jpg,West_Highland_white_terrier
14294,n02093991,n02093991_2437.jpg,Irish_terrier
875,n02106662,n02106662_4201.jpg,German_shepherd
17854,n02115641,n02115641_9272.jpg,dingo
10172,n02107142,n02107142_5144.jpg,Doberman
17883,n02115641,n02115641_10570.jpg,dingo
19651,n02100735,n02100735_3348.jpg,English_setter
18744,n02116738,n02116738_2988.jpg,African_hunting_dog
12914,n02107312,n02107312_6580.jpg,miniature_pinscher
2260,n02099267,n02099267_2630.jpg,flat
14792,n02088364,n02088364_15370.jpg,beagle
10408,n02091134,n02091134_7310.jpg,whippet
9412,n02108551,n02108551_2921.jpg,Tibetan_mastiff
13089,n02089867,n02089867_347.jpg,Walker_hound
1021,n02112706,n02112706_1755.jpg,Brabancon_griffon
5038,n02097130,n02097130_602.jpg,giant_schnauzer
7673,n02106550,n02106550_3313.jpg,Rottweiler
5956,n02090721,n02090721_3555.jpg,Irish_wolfhound
15735,n02091467,n02091467_287.jpg,Norwegian_elkhound
9647,n02098105,n02098105_1578.jpg,soft
14443,n02085936,n02085936_2927.jpg,Maltese_dog
42,n02112018,n02112018_2336.jpg,Pomeranian
13514,n02090622,n02090622_3156.jpg,borzoi
12932,n02107312,n02107312_7338.jpg,miniature_pinscher
20420,n02086910,n02086910_3262.jpg,papillon
10665,n02105855,n02105855_1791.jpg,Shetland_sheepdog
19067,n02093754,n02093754_4669.jpg,Border_terrier
7766,n02098286,n02098286_3021.jpg,West_Highland_white_terrier
15102,n02092339,n02092339_7816.jpg,Weimaraner
977,n02112706,n02112706_2123.jpg,Brabancon_griffon
14808,n02088364,n02088364_17671.jpg,beagle
12253,n02102177,n02102177_2891.jpg,Welsh_springer_spaniel
2386,n02099267,n02099267_4681.jpg,flat
257,n02088238,n02088238_11383.jpg,basset
2513,n02102973,n02102973_2595.jpg,Irish_water_spaniel
12536,n02089973,n02089973_1381.jpg,English_foxhound
4480,n02101388,n02101388_3195.jpg,Brittany_spaniel
2106,n02100236,n02100236_239.jpg,German_short
3288,n02105251,n02105251_3746.jpg,briard
12287,n02102177,n02102177_2586.jpg,Welsh_springer_spaniel
1366,n02105412,n02105412_676.jpg,kelpie
14007,n02111500,n02111500_5812.jpg,Great_Pyrenees
3268,n02105251,n02105251_5775.jpg,briard
7468,n02108422,n02108422_2053.jpg,bull_mastiff
19937,n02093647,n02093647_1201.jpg,Bedlington_terrier
768,n02106662,n02106662_10122.jpg,German_shepherd
12201,n02102177,n02102177_4024.jpg,Welsh_springer_spaniel
8972,n02107574,n02107574_2191.jpg,Greater_Swiss_Mountain_dog
10599,n02105855,n02105855_12631.jpg,Shetland_sheepdog
13554,n02090622,n02090622_2968.jpg,borzoi
5748,n02095314,n02095314_1997.jpg,wire
5374,n02085620,n02085620_11140.jpg,Chihuahua
935,n02112706,n02112706_1558.jpg,Brabancon_griffon
7624,n02106550,n02106550_4254.jpg,Rottweiler
9625,n02098105,n02098105_2074.jpg,soft
11561,n02110806,n02110806_111.jpg,basenji
20279,n02110627,n02110627_13499.jpg,affenpinscher
13068,n02089867,n02089867_3260.jpg,Walker_hound
15797,n02091244,n02091244_387.jpg,Ibizan_hound
4336,n02105505,n02105505_4118.jpg,komondor
15243,n02092339,n02092339_6752.jpg,Weimaraner
18814,n02116738,n02116738_4323.jpg,African_hunting_dog
11529,n02105056,n02105056_7314.jpg,groenendael
20370,n02110627,n02110627_11875.jpg,affenpinscher
709,n02106382,n02106382_2083.jpg,Bouvier_des_Flandres
17975,n02092002,n02092002_6609.jpg,Scottish_deerhound
13984,n02111500,n02111500_5962.jpg,Great_Pyrenees
8832,n02107574,n02107574_835.jpg,Greater_Swiss_Mountain_dog
1745,n02095570,n02095570_2127.jpg,Lakeland_terrier
4586,n02089078,n02089078_779.jpg,black
5692,n02090379,n02090379_5404.jpg,redbone
12054,n02097474,n02097474_4085.jpg,Tibetan_terrier
17050,n02110958,n02110958_15217.jpg,pug
9489,n02108551,n02108551_3305.jpg,Tibetan_mastiff
3027,n02094433,n02094433_4710.jpg,Yorkshire_terrier
13432,n02113799,n02113799_4604.jpg,standard_poodle
3008,n02094433,n02094433_259.jpg,Yorkshire_terrier
6707,n02104029,n02104029_455.jpg,kuvasz
19897,n02093647,n02093647_2354.jpg,Bedlington_terrier
12327,n02099601,n02099601_447.jpg,golden_retriever
19531,n02100735,n02100735_2464.jpg,English_setter
20183,n02096051,n02096051_6315.jpg,Airedale
1214,n02086646,n02086646_3149.jpg,Blenheim_spaniel
18276,n02094114,n02094114_3425.jpg,Norfolk_terrier
15519,n02102040,n02102040_988.jpg,English_springer
13653,n02106166,n02106166_1284.jpg,Border_collie
6617,n02104029,n02104029_4277.jpg,kuvasz
12873,n02107312,n02107312_3603.jpg,miniature_pinscher
1429,n02086240,n02086240_756.jpg,Shih
5736,n02090379,n02090379_3291.jpg,redbone
4026,n02108089,n02108089_3395.jpg,boxer
9018,n02096585,n02096585_1992.jpg,Boston_bull
9446,n02108551,n02108551_2778.jpg,Tibetan_mastiff
4728,n02107908,n02107908_4895.jpg,Appenzeller
8621,n02098413,n02098413_2620.jpg,Lhasa
12386,n02099601,n02099601_142.jpg,golden_retriever
263,n02088238,n02088238_9789.jpg,basset
15240,n02092339,n02092339_363.jpg,Weimaraner
12236,n02102177,n02102177_1509.jpg,Welsh_springer_spaniel
5842,n02095314,n02095314_969.jpg,wire
2318,n02099267,n02099267_957.jpg,flat
2076,n02100877,n02100877_6998.jpg,Irish_setter
6837,n02102480,n02102480_6922.jpg,Sussex_spaniel
15639,n02091467,n02091467_3135.jpg,Norwegian_elkhound
11682,n02110806,n02110806_919.jpg,basenji
2146,n02100236,n02100236_3686.jpg,German_short
14991,n02097209,n02097209_3401.jpg,standard_schnauzer
12520,n02089973,n02089973_770.jpg,English_foxhound
3174,n02104365,n02104365_6930.jpg,schipperke
16758,n02088094,n02088094_1370.jpg,Afghan_hound
11832,n02096177,n02096177_1335.jpg,cairn
11163,n02113186,n02113186_7215.jpg,Cardigan
16449,n02097298,n02097298_7835.jpg,Scotch_terrier
9240,n02108000,n02108000_1901.jpg,EntleBucher
3062,n02104365,n02104365_7018.jpg,schipperke
2035,n02100877,n02100877_7519.jpg,Irish_setter
20560,n02086910,n02086910_3140.jpg,papillon
15803,n02091244,n02091244_589.jpg,Ibizan_hound
9065,n02096585,n02096585_6028.jpg,Boston_bull
11514,n02105056,n02105056_6596.jpg,groenendael
16564,n02113978,n02113978_1823.jpg,Mexican_hairless
6664,n02104029,n02104029_3900.jpg,kuvasz
15392,n02099849,n02099849_68.jpg,Chesapeake_Bay_retriever
15210,n02092339,n02092339_2103.jpg,Weimaraner
10259,n02107683,n02107683_4576.jpg,Bernese_mountain_dog
17201,n02110958,n02110958_12781.jpg,pug
20467,n02086910,n02086910_2556.jpg,papillon
10090,n02107142,n02107142_15810.jpg,Doberman
10715,n02105855,n02105855_17517.jpg,Shetland_sheepdog
10122,n02107142,n02107142_7102.jpg,Doberman
19993,n02093647,n02093647_562.jpg,Bedlington_terrier
4726,n02107908,n02107908_3387.jpg,Appenzeller
10911,n02108915,n02108915_9804.jpg,French_bulldog
18224,n02094114,n02094114_1832.jpg,Norfolk_terrier
9097,n02096585,n02096585_1737.jpg,Boston_bull
18333,n02094114,n02094114_3737.jpg,Norfolk_terrier
7703,n02106550,n02106550_3993.jpg,Rottweiler
1141,n02086646,n02086646_1930.jpg,Blenheim_spaniel
5652,n02090379,n02090379_1438.jpg,redbone
3105,n02104365,n02104365_6625.jpg,schipperke
3415,n02113712,n02113712_3138.jpg,miniature_poodle
4645,n02089078,n02089078_3440.jpg,black
4190,n02086079,n02086079_2358.jpg,Pekinese
1325,n02105412,n02105412_4932.jpg,kelpie
970,n02112706,n02112706_1731.jpg,Brabancon_griffon
1139,n02086646,n02086646_982.jpg,Blenheim_spaniel
3003,n02094433,n02094433_2022.jpg,Yorkshire_terrier
6897,n02102480,n02102480_1748.jpg,Sussex_spaniel
518,n02085782,n02085782_4208.jpg,Japanese_spaniel
16294,n02106030,n02106030_3776.jpg,collie
7081,n02111889,n02111889_13603.jpg,Samoyed
5044,n02097130,n02097130_5070.jpg,giant_schnauzer
4234,n02105505,n02105505_4436.jpg,komondor
3187,n02104365,n02104365_7065.jpg,schipperke
12038,n02097474,n02097474_2115.jpg,Tibetan_terrier
16903,n02102318,n02102318_7000.jpg,cocker_spaniel
3464,n02113712,n02113712_3109.jpg,miniature_poodle
7604,n02106550,n02106550_7393.jpg,Rottweiler
2030,n02100877,n02100877_1069.jpg,Irish_setter
9896,n02109047,n02109047_32010.jpg,Great_Dane
10118,n02107142,n02107142_7703.jpg,Doberman
5708,n02090379,n02090379_1698.jpg,redbone
18883,n02116738,n02116738_6754.jpg,African_hunting_dog
7835,n02098286,n02098286_1551.jpg,West_Highland_white_terrier
15259,n02092339,n02092339_327.jpg,Weimaraner
18966,n02101006,n02101006_3442.jpg,Gordon_setter
10842,n02093428,n02093428_7353.jpg,American_Staffordshire_terrier
10854,n02093428,n02093428_5662.jpg,American_Staffordshire_terrier
18260,n02094114,n02094114_3409.jpg,Norfolk_terrier
16795,n02088094,n02088094_3374.jpg,Afghan_hound
2743,n02101556,n02101556_1355.jpg,clumber
11891,n02096177,n02096177_91.jpg,cairn
9831,n02091032,n02091032_1228.jpg,Italian_greyhound
13484,n02090622,n02090622_855.jpg,borzoi
2172,n02100236,n02100236_1258.jpg,German_short
13866,n02094258,n02094258_752.jpg,Norwich_terrier
4394,n02101388,n02101388_733.jpg,Brittany_spaniel
8827,n02097658,n02097658_595.jpg,silky_terrier
11377,n02093859,n02093859_2293.jpg,Kerry_blue_terrier
15383,n02099849,n02099849_4767.jpg,Chesapeake_Bay_retriever
6274,n02113023,n02113023_4211.jpg,Pembroke
7370,n02093256,n02093256_6177.jpg,Staffordshire_bullterrier
20384,n02086910,n02086910_1775.jpg,papillon
20509,n02086910,n02086910_7426.jpg,papillon
19329,n02113624,n02113624_2270.jpg,toy_poodle
